status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,gender,n_guarantors,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,martial Status,telephone,is_foreign_worker,secondary_obligor,actual,predicted,prob_bad,correct
no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,>= 7 years,2,female,1,4,none,45,none,own,1,unskilled - resident,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,6.189570954768006,YES
0 to < 200 DM,39,delay in paying off in the past,education,11760,100 to < 500 DM,4 to < 7 years,2,male,1,3,savings agreement/life insurance,32,none,rent,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,22.33920920012798,YES
no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 to < 500 DM,4 to < 7 years,4,female,1,3,real estate,51,none,own,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,4.194861364229083,YES
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,< 100 DM,>= 7 years,4,male,2,4,real estate,36,bank,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,good,32.916970824299554,NO
no checking account,11,existing credits paid back duly till now,business,2142,>= 1000 DM,>= 7 years,1,male,1,2,none,28,none,own,1,skilled employee/ official,divorced/separated,"yes, registered under the customers name",yes,none,good,good,8.172911603633843,YES
< 0 DM,48,existing credits paid back duly till now,car (used),4788,< 100 DM,4 to < 7 years,4,male,2,3,car,26,none,own,1,skilled employee/ official,single,none,yes,none,good,bad,46.431152680225615,NO
< 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,< 100 DM,1 to < 4 years,3,male,2,4,savings agreement/life insurance,53,none,for free,2,skilled employee/ official,single,none,yes,none,bad,bad,65.37067094671384,YES
< 0 DM,12,all credits at this bank paid back duly,retraining,339,< 100 DM,>= 7 years,4,male,1,1,real estate,45,bank,own,1,unskilled - resident,married/widowed,none,yes,none,good,bad,37.51882227907532,NO
0 to < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 to < 500 DM,1 to < 4 years,2,male,1,2,real estate,30,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,bad,38.074614814410054,NO
0 to < 200 DM,12,no credits taken/ all credits paid back duly,furniture/equipment,2969,< 100 DM,< 1 year,4,female,1,3,car,25,none,rent,2,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,65.49473667291971,YES
>= 200 DM,42,no credits taken/ all credits paid back duly,business,6289,< 100 DM,< 1 year,2,male,1,1,car,33,none,own,2,skilled employee/ official,divorced/separated,none,yes,none,good,bad,47.46699692821963,NO
0 to < 200 DM,8,existing credits paid back duly till now,business,907,< 100 DM,< 1 year,3,male,1,2,none,26,none,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,bad,42.879420538809875,NO
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 to < 500 DM,< 1 year,4,male,1,1,real estate,27,none,own,1,skilled employee/ official,single,none,yes,none,good,good,17.818826614928987,YES
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,< 100 DM,1 to < 4 years,3,male,1,4,none,43,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,6.635515924111416,YES
no checking account,6,existing credits paid back duly till now,car (new),3518,< 100 DM,1 to < 4 years,2,male,1,3,car,26,none,rent,1,skilled employee/ official,single,none,yes,guarantor,good,good,33.291525987961435,YES
no checking account,36,delay in paying off in the past,business,9572,< 100 DM,< 1 year,1,male,1,1,real estate,28,none,own,2,skilled employee/ official,divorced/separated,none,yes,none,bad,bad,65.49797493124898,YES
>= 200 DM,10,existing credits paid back duly till now,domestic appliances,1225,< 100 DM,1 to < 4 years,2,male,1,2,real estate,37,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.071921659802337,YES
no checking account,12,existing credits paid back duly till now,car (new),2859,unknown/ no savings account,unemployed,4,male,1,4,savings agreement/life insurance,38,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,21.721736699338855,YES
no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,>= 7 years,3,male,2,3,real estate,32,bank,own,2,skilled employee/ official,single,none,yes,none,good,good,14.074368146239236,YES
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,3749,< 100 DM,< 1 year,2,female,1,4,real estate,26,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,bad,57.0816049767506,NO
< 0 DM,12,all credits at this bank paid back duly,radio/television,2149,< 100 DM,1 to < 4 years,4,male,1,1,savings agreement/life insurance,29,none,for free,1,skilled employee/ official,divorced/separated,none,yes,none,bad,bad,65.50313239207985,YES
0 to < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 to < 500 DM,< 1 year,4,female,1,2,car,24,none,own,1,management/ self-employed/highly qualified employee,divorced/separated/married,none,yes,none,bad,bad,66.20666969149515,YES
0 to < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,< 100 DM,< 1 year,4,male,1,2,car,25,none,own,2,unskilled - resident,single,none,yes,none,bad,bad,65.50621698872257,YES
no checking account,18,delay in paying off in the past,furniture/equipment,1808,< 100 DM,4 to < 7 years,4,female,1,1,none,22,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,53.56898864354716,YES
no checking account,60,existing credits paid back duly till now,radio/television,10144,100 to < 500 DM,4 to < 7 years,2,female,1,4,none,21,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.073045233980055,YES
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,< 100 DM,>= 7 years,4,male,1,4,none,61,none,own,2,unskilled - resident,single,none,yes,none,good,good,6.004972333761302,YES
>= 200 DM,18,existing credits paid back duly till now,car (new),1961,< 100 DM,>= 7 years,3,female,1,2,real estate,23,none,own,1,management/ self-employed/highly qualified employee,divorced/separated/married,none,yes,none,good,good,35.972363775027766,YES
0 to < 200 DM,12,existing credits paid back duly till now,car (new),836,100 to < 500 DM,< 1 year,4,female,1,2,car,23,bank,own,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,65.50459047335497,YES
< 0 DM,27,existing credits paid back duly till now,radio/television,3416,< 100 DM,1 to < 4 years,3,male,1,2,real estate,27,none,own,1,management/ self-employed/highly qualified employee,single,none,yes,none,good,bad,59.660727570080674,NO
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,< 100 DM,1 to < 4 years,4,male,1,1,car,21,none,own,1,unskilled - resident,single,none,yes,guarantor,good,good,14.066506440370796,YES
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,629,500 to < 1000 DM,>= 7 years,4,male,1,3,car,32,bank,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.075073291615134,YES
no checking account,24,existing credits paid back duly till now,retraining,937,< 100 DM,< 1 year,4,male,1,3,real estate,27,none,own,2,unskilled - resident,married/widowed,none,yes,none,good,good,14.068909223852568,YES
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,>= 7 years,4,male,1,4,none,36,none,own,2,skilled employee/ official,single,none,yes,none,good,good,14.069666648952401,YES
0 to < 200 DM,24,existing credits paid back duly till now,others,11328,< 100 DM,1 to < 4 years,2,male,1,3,real estate,29,bank,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,co-applicant,bad,bad,65.50005255227876,YES
no checking account,24,existing credits paid back duly till now,car (used),2603,>= 1000 DM,1 to < 4 years,2,female,1,4,real estate,28,none,rent,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,6.129913451314085,YES
no checking account,22,existing credits paid back duly till now,radio/television,2675,500 to < 1000 DM,>= 7 years,3,male,1,4,real estate,40,none,own,1,skilled employee/ official,single,none,yes,none,good,good,3.678290153474353,YES
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 to < 500 DM,1 to < 4 years,4,female,1,2,none,28,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,co-applicant,good,good,20.357667769032904,YES
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,< 100 DM,>= 7 years,4,male,1,4,real estate,46,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,4.467256160090209,YES
no checking account,12,existing credits paid back duly till now,furniture/equipment,763,< 100 DM,1 to < 4 years,4,female,1,1,none,26,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.067219661511432,YES
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,< 100 DM,4 to < 7 years,4,female,1,4,real estate,26,none,rent,1,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.074303177665012,YES
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5103,< 100 DM,< 1 year,3,male,1,3,savings agreement/life insurance,47,none,for free,3,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,14.076262356869156,YES
no checking account,42,existing credits paid back duly till now,radio/television,7166,unknown/ no savings account,4 to < 7 years,2,male,1,4,car,29,none,rent,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,14.076660251021908,YES
no checking account,24,delay in paying off in the past,business,8648,< 100 DM,< 1 year,2,male,1,2,real estate,27,bank,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,65.49383790411954,YES
0 to < 200 DM,12,existing credits paid back duly till now,car (new),888,< 100 DM,>= 7 years,4,male,2,4,real estate,41,bank,own,1,unskilled - resident,single,none,yes,none,bad,bad,60.235339302726096,YES
no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,< 100 DM,< 1 year,4,female,1,4,real estate,35,none,own,2,management/ self-employed/highly qualified employee,divorced/separated/married,none,yes,none,good,good,14.067161694627828,YES
< 0 DM,18,existing credits paid back duly till now,car (new),1216,< 100 DM,< 1 year,4,female,1,3,real estate,23,none,rent,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,82.53082454932562,YES
0 to < 200 DM,30,existing credits paid back duly till now,car (new),2150,< 100 DM,1 to < 4 years,4,female,1,2,savings agreement/life insurance,24,bank,own,1,skilled employee/ official,divorced/separated/married,none,yes,guarantor,bad,bad,65.5016208004269,YES
>= 200 DM,12,existing credits paid back duly till now,car (new),1330,< 100 DM,< 1 year,4,male,1,1,none,26,none,own,1,skilled employee/ official,single,none,yes,none,good,good,20.1552726193916,YES
no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,< 1 year,2,male,1,4,none,44,none,own,2,skilled employee/ official,divorced/separated,"yes, registered under the customers name",yes,none,good,good,11.224456022841913,YES
no checking account,24,delay in paying off in the past,car (new),2538,< 100 DM,>= 7 years,4,male,2,4,real estate,47,none,own,2,unskilled - resident,single,none,yes,none,bad,good,25.178651959226638,NO
no checking account,18,existing credits paid back duly till now,radio/television,1473,< 100 DM,< 1 year,3,male,1,4,none,39,none,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,10.3647601837771,YES
>= 200 DM,12,existing credits paid back duly till now,radio/television,3016,< 100 DM,1 to < 4 years,3,male,1,1,real estate,24,none,own,1,skilled employee/ official,married/widowed,none,yes,none,good,good,30.505762031506613,YES
< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,< 100 DM,>= 7 years,4,male,1,3,real estate,30,none,own,2,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,bad,57.3066628844003,NO
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,< 100 DM,1 to < 4 years,3,male,2,2,none,39,none,rent,2,unskilled - resident,single,none,no,none,good,good,15.375880666599404,YES
no checking account,9,critical account/ other credits existing (not at this bank),education,1244,unknown/ no savings account,>= 7 years,4,female,1,4,car,41,none,rent,2,unskilled - resident,divorced/separated/married,none,yes,none,good,good,13.7246224205826,YES
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 to < 1000 DM,1 to < 4 years,4,male,1,4,none,22,stores,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,19.82947383015475,YES
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,>= 7 years,4,male,2,4,savings agreement/life insurance,45,bank,for free,1,skilled employee/ official,single,none,yes,none,good,good,14.299102388233687,YES
< 0 DM,28,existing credits paid back duly till now,car (new),4006,< 100 DM,1 to < 4 years,3,male,1,2,real estate,45,none,own,1,unskilled - resident,single,none,yes,none,bad,bad,70.23897683075545,YES
no checking account,9,existing credits paid back duly till now,radio/television,2753,100 to < 500 DM,>= 7 years,3,male,1,4,real estate,35,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,co-applicant,good,good,6.072218826434007,YES
0 to < 200 DM,18,delay in paying off in the past,business,2427,unknown/ no savings account,>= 7 years,4,male,1,2,car,42,none,own,2,skilled employee/ official,single,none,yes,none,good,good,9.685780105980497,YES
0 to < 200 DM,36,existing credits paid back duly till now,car (used),6948,< 100 DM,1 to < 4 years,2,male,1,2,real estate,35,none,rent,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,32.81546526603385,YES
< 0 DM,30,existing credits paid back duly till now,repairs,11998,< 100 DM,< 1 year,1,male,1,1,savings agreement/life insurance,34,none,own,1,unskilled - resident,divorced/separated,"yes, registered under the customers name",yes,none,bad,bad,65.50489496712021,YES
no checking account,6,existing credits paid back duly till now,retraining,1238,unknown/ no savings account,unemployed,4,male,2,4,car,36,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.069562982109879,YES
0 to < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,>= 1000 DM,< 1 year,4,female,1,1,none,20,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,15.626960873488525,YES
< 0 DM,6,existing credits paid back duly till now,furniture/equipment,428,< 100 DM,>= 7 years,2,female,1,1,car,49,bank,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.073770543113284,YES
0 to < 200 DM,48,existing credits paid back duly till now,car (new),6560,100 to < 500 DM,4 to < 7 years,3,male,1,2,car,24,none,own,1,skilled employee/ official,single,none,yes,none,bad,bad,65.49728965342719,YES
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 to < 1000 DM,4 to < 7 years,2,female,1,4,real estate,40,none,own,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.073461774615998,YES
< 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,< 100 DM,1 to < 4 years,3,male,1,4,real estate,54,none,own,1,skilled employee/ official,single,none,yes,none,bad,bad,65.50592241963052,YES
< 0 DM,48,existing credits paid back duly till now,car (new),7763,< 100 DM,>= 7 years,4,male,1,4,savings agreement/life insurance,42,bank,for free,1,management/ self-employed/highly qualified employee,single,none,yes,none,bad,bad,73.49473831205108,YES
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,< 100 DM,4 to < 7 years,3,male,1,4,real estate,27,bank,own,1,skilled employee/ official,single,none,yes,none,bad,bad,65.50382307137211,YES
>= 200 DM,10,existing credits paid back duly till now,furniture/equipment,1275,< 100 DM,< 1 year,4,female,1,2,car,23,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,31.481968840879805,YES
no checking account,30,delay in paying off in the past,business,4272,100 to < 500 DM,1 to < 4 years,2,male,1,2,car,26,none,own,2,unskilled - resident,single,none,yes,none,good,good,14.073369804676167,YES
no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,< 100 DM,< 1 year,4,male,2,1,car,43,none,own,1,unskilled - resident,married/widowed,none,yes,co-applicant,bad,good,16.3788039307602,NO
no checking account,10,existing credits paid back duly till now,car (new),1364,< 100 DM,1 to < 4 years,2,female,1,4,real estate,64,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,5.747398158818238,YES
0 to < 200 DM,36,existing credits paid back duly till now,radio/television,2323,< 100 DM,4 to < 7 years,4,male,1,4,real estate,24,none,rent,1,skilled employee/ official,single,none,yes,none,good,bad,50.0,NO
no checking account,12,existing credits paid back duly till now,radio/television,2171,< 100 DM,< 1 year,2,female,1,2,real estate,29,bank,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,23.60905525721496,YES
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2238,< 100 DM,1 to < 4 years,2,female,1,1,real estate,25,none,own,2,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,8.285074913809924,YES
no checking account,15,existing credits paid back duly till now,car (used),3812,100 to < 500 DM,< 1 year,1,female,1,4,real estate,23,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.067191691494749,YES
0 to < 200 DM,24,existing credits paid back duly till now,car (new),1201,< 100 DM,< 1 year,4,male,1,1,car,26,none,own,1,skilled employee/ official,single,none,yes,none,good,good,35.63684822651538,YES
no checking account,15,existing credits paid back duly till now,car (new),3186,>= 1000 DM,4 to < 7 years,2,female,1,3,real estate,20,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,12.70151844798313,YES
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 to < 7 years,4,male,2,3,savings agreement/life insurance,34,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.067309801123203,YES
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3905,< 100 DM,1 to < 4 years,2,male,2,2,none,36,none,rent,2,skilled employee/ official,single,none,yes,none,good,good,15.620989846554412,YES
no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 to < 500 DM,unemployed,4,female,1,4,none,57,none,own,3,unskilled - resident,divorced/separated/married,none,yes,none,good,good,10.652005503374056,YES
no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 to < 500 DM,1 to < 4 years,4,female,1,2,none,30,none,own,2,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,48.24909121324825,YES
no checking account,12,existing credits paid back duly till now,radio/television,1963,< 100 DM,4 to < 7 years,4,male,2,2,real estate,31,none,rent,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,10.470239741351557,YES
no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,< 100 DM,>= 7 years,4,male,1,4,real estate,39,none,own,1,unskilled - resident,married/widowed,none,yes,none,good,good,11.63328280076101,YES
no checking account,27,delay in paying off in the past,car (used),8613,>= 1000 DM,1 to < 4 years,2,male,1,2,real estate,27,none,own,2,skilled employee/ official,single,none,yes,none,good,good,7.430421083179392,YES
no checking account,24,existing credits paid back duly till now,radio/television,1901,100 to < 500 DM,1 to < 4 years,4,male,1,4,real estate,29,none,rent,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.07274330361955,YES
< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1957,< 100 DM,4 to < 7 years,1,female,1,4,real estate,31,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,10.191969510131733,YES
< 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,< 100 DM,4 to < 7 years,4,male,1,1,car,32,none,own,2,management/ self-employed/highly qualified employee,married/widowed,"yes, registered under the customers name",yes,none,good,bad,40.247683459964115,NO
0 to < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,< 100 DM,4 to < 7 years,3,male,1,3,real estate,43,none,own,1,skilled employee/ official,divorced/separated,"yes, registered under the customers name",yes,none,bad,good,22.213219143761663,NO
>= 200 DM,6,critical account/ other credits existing (not at this bank),car (new),1299,< 100 DM,1 to < 4 years,1,male,2,1,none,74,none,own,3,unemployed/ unskilled - non-resident,single,none,no,none,good,good,12.030202636076366,YES
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,< 100 DM,1 to < 4 years,4,male,1,2,real estate,33,none,own,1,skilled employee/ official,married/widowed,none,yes,none,bad,bad,65.49340741821094,YES
no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,>= 7 years,4,male,1,1,none,47,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,13.214277408587016,YES
no checking account,48,existing credits paid back duly till now,business,4844,< 100 DM,unemployed,3,male,1,2,real estate,33,bank,rent,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.50768593685939,YES
0 to < 200 DM,36,existing credits paid back duly till now,repairs,2384,< 100 DM,< 1 year,4,male,1,1,savings agreement/life insurance,33,none,rent,1,unskilled - resident,single,none,yes,none,bad,bad,51.9744509438682,YES
< 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,< 100 DM,>= 7 years,4,male,2,4,real estate,44,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,16.860229487083224,YES
< 0 DM,30,critical account/ other credits existing (not at this bank),car (used),10623,< 100 DM,>= 7 years,3,male,2,4,savings agreement/life insurance,38,none,for free,3,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,22.02522603675268,YES
no checking account,6,existing credits paid back duly till now,car (used),1236,500 to < 1000 DM,1 to < 4 years,2,male,1,4,car,50,none,rent,1,skilled employee/ official,single,none,yes,none,good,good,14.066842408741206,YES
